,minimum,maximum
ACALD,-0.0,0.0
ACALDt,-0.0,0.0
ACKr,-0.0,0.0
ACONTa,6.00725,6.00725
ACONTb,6.00725,6.00725
ACt2r,-0.0,0.0
ADK1,0.0,0.0
AKGDH,5.064376,5.064376
AKGt2r,-0.0,0.0
ALCD2x,-0.0,0.0
ATPM,8.39,8.39
ATPS4r,45.51401,45.51401
BIOMASS_Ecoli_core_w_GAM,0.873922,0.873922
CO2t,-22.809833,-22.809833
CS,6.00725,6.00725
CYTBD,43.598985,43.598985
D_LACt2,-0.0,0.0
ENO,14.71614,14.71614
ETOHt2r,-0.0,0.0
EX_ac_e,0.0,0.0
EX_acald_e,0.0,0.0
EX_akg_e,0.0,0.0
EX_co2_e,22.809833,22.809833
EX_etoh_e,0.0,0.0
EX_for_e,0.0,0.0
EX_fru_e,0.0,0.0
EX_fum_e,0.0,0.0
EX_glc__D_e,-10.0,-10.0
EX_gln__L_e,0.0,0.0
EX_glu__L_e,0.0,0.0
EX_h_e,17.530865,17.530865
EX_h2o_e,29.175827,29.175827
EX_lac__D_e,0.0,0.0
EX_mal__L_e,0.0,0.0
EX_nh4_e,-4.765319,-4.765319
EX_o2_e,-21.799493,-21.799493
EX_pi_e,-3.214895,-3.214895
EX_pyr_e,0.0,0.0
EX_succ_e,0.0,0.0
FBA,7.477382,7.477382
FBP,0.0,0.0
FORt2,0.0,0.0
FORt,-0.0,0.0
FRD7,0.0,994.935624
FRUpts2,-0.0,0.0
FUM,5.064376,5.064376
FUMt2_2,-0.0,0.0
G6PDH2r,4.959985,4.959985
GAPD,16.023526,16.023526
GLCpts,10.0,10.0
GLNS,0.223462,0.223462
GLNabc,-0.0,0.0
GLUDy,-4.541857,-4.541857
GLUN,0.0,0.0
GLUSy,0.0,0.0
GLUt2r,-0.0,0.0
GND,4.959985,4.959985
H2Ot,-29.175827,-29.175827
ICDHyr,6.00725,6.00725
ICL,0.0,0.0
LDH_D,-0.0,0.0
MALS,0.0,0.0
MALt2_2,0.0,0.0
MDH,5.064376,5.064376
ME1,0.0,0.0
ME2,0.0,0.0
NADH16,38.53461,38.53461
NADTRHD,0.0,0.0
NH4t,4.765319,4.765319
O2t,21.799493,21.799493
PDH,9.282533,9.282533
PFK,7.477382,7.477382
PFL,0.0,0.0
PGI,4.860861,4.860861
PGK,-16.023526,-16.023526
PGL,4.959985,4.959985
PGM,-14.71614,-14.71614
PIt2r,3.214895,3.214895
PPC,2.504309,2.504309
PPCK,0.0,0.0
PPS,0.0,0.0
PTAr,0.0,0.0
PYK,1.758177,1.758177
PYRt2,-0.0,0.0
RPE,2.678482,2.678482
RPI,-2.281503,-2.281503
SUCCt2_2,-0.0,0.0
SUCCt3,0.0,0.0
SUCDi,5.064376,1000.0
SUCOAS,-5.064376,-5.064376
TALA,1.496984,1.496984
THD2,0.0,0.0
TKT1,1.496984,1.496984
TKT2,1.181498,1.181498
TPI,7.477382,7.477382
